pelr0123,item,no.required,not incl vat,incl VAT,,Ordered?,Received?,,,,
,1 x Axiome Twinwall Polycarbonate Roofing Sheet Clear 690mm x 4mm x 1000mm,,,£10.45,,,,,screwfix,,
,,,,,,,,,,,
,On-Off-On DPDT Toggle Switch 250V AC 15A,1,,£4.19,,,,,Ebay,,
,DC12V 100A 200A 4Pin Automotive Relay Normally Open Switch Relay For Car Boat UK,1,,£8.99,,,,,Ebay,,
,,,,,,,,,,,
,"Box of 100 ""HEAVY DUTY"" 7ML Thick Aurelia Ignite Textured Orange Nitrile Gloves",1,,£12.7,,,,,Ebay,,
,,,,,,,,,,,
,"BSP Hydraulic Adaptor 90 Degree Swept Hydraulic Coupling Connector M/M, M/F, F/F",2,,£8.95,,,,,Ebay,,
,,,,,,,,,,,
,1 x Time 2182Y Black 2-Core 0.5mm² Flexible Cable 50m Drum,1,,£16.23,,,,,screwfix,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Adaptor, USB, D Type - NAUSB-W,  Order Code: CN09520 , reversible USB 2.0 gender changer (type A and B) adaptor. ",3,£5.06,,,,,,CPC,,
,"PSG91633 - Reversible USB 2.0 A to B Lead Male to Male, 0.5m   Manufacturer: PRO SIGNAL Order Code: CS32888 ",,£1.26,,,,,,CPC,,
,"D03174 - 40W Soldering Iron with Rubber Lead, 240V   Manufacturer: DURATOOL  Order Code: SD02130 ",,£2.25,,,,,,CPC,,
,,,,,,,,,,,
,Micro USB to USB Type B Cable Lead For Printer HP Canon Brother Epson Samsung HP,,,£3.98,,,,,EBAY,,
,,,,,,,,,,,
,5 PCS - 12mm Round Metal Push Button Switch Momentary Power Reset ,,,£6.10,,,,,EBAY,,
,,,,,,,,,,,
,"50.8mm x 6.3mm (2"" x 1/4"") Mild Steel Flat Bright x 600mm",2,£10.42,,,,,,metals4u,https://www.metals4u.co.uk/materials/mild-steel/mild-steel-flat/flat-bright/2590-p,
,"63.5mm x 6.3mm (2 1/2"" x 1/4"") Mild Steel Flat Bright  x 600mm",2,£16.60,,,,,,metals4u,https://www.metals4u.co.uk/materials/mild-steel/mild-steel-flat/flat-bright/2591-p,
,,,,,,,,,,,
,,,,,,,,,,,
,SMA Right Angle Gold 90 Degree Female Socket To Male Plug Coupler Elbow Adaptor,4,,£2.80,,,,,EBAY,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
131921,CARRIER ISOA 1/4,2 in stock ,£7.41 ,£14.82,,,,,Duncan Rogers,,
113525,BSP M/M 1/4 x 1/4,In Stock ,£1.34 ,£2.68,,,,,Duncan Rogers,,
113526,1/4 x 3/8 BSP M/M Adaptor,In Stock ,£1.60 ,£3.20,,,,,Duncan Rogers,,
140416,PROBE ISOA G1/4,In Stock ,£5.58 ,£11.16,,,,,Duncan Rogers,,
117722,BONDED SEAL MS NBR S/C G1/4 ,In Stock ,£0.17 ,,,,,,,,
117723,BONDED SEAL MS NBR S/C G3/8 ,In Stock ,£0.20 ,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Flowfit Cetop 3 NG6 3 Position Solenoid Valve, 12V DC, 3C2 Product SKU: F5-02-3C2-D1  …………. 1 of",1,£70.56,70.56,,,,,Flowfit,,
,"SKU: 2SHose Hose: 2SN_BRANDED_Hose_1/4 (Length:1.5, Rotation:0) (sku: HOSE_2SN_04_1-5_0) Fit1: 1/4 X 1/4 BSP Straight Female (sku: FF0404CF_HoseFit) Fit2: 1/4 X 1/4 BSP 90 Female (sku: FF049004CF_HoseFit)  ……. 1 of",1,£7.78,7.78,,,,,Flowfit,,
,"SKU: 2SHose Hose: 2SN_BRANDED_Hose_1/4 (Length:1.75, Rotation:0) (sku: HOSE_2SN_04_1-75_0) Fit1: 1/4 X 1/4 BSP Straight Female (sku: FF0404CF_HoseFit) Fit2: 1/4 X 1/4 BSP 90 Female (sku: FF049004CF_HoseFit) …… 1 of",1,£8.39,8.39,,,,,Flowfit,,
,Hydraulic D/Acting Cylinder/Ram 32Bore 20Rod 300Stroke 455Closed 700/30  ……. 1 of,1,£88.88,88.88,,,,,Flowfit,,
*Changed*  ,1/4 BSP x 1/4 BSP M/M Hydraulic Adaptor Product SKU: BUR00005 ……. 12 of,4,£0.98,4,,,,,Flowfit,,
,"Hydraulic ISO A quick release coupling set 1/4"" BSP   …………. 2 of",3,£5.32,10.6,,,,,Flowfit,,
,1/4 BSP x 3/8 BSP M/M Hydraulic Adaptor Product SKU: BUR00006 ……….. 2 of,4,£1.12,2.24,,,,,Flowfit,,
,"Bonded Seals (Self Centre) 3/8"" BSP Pack of 10 Product SKU: BS3810 ……. 1 pack of 10",6,,1.86,,,,,Flowfit,,
*Changed*  ,1/4 BSP x 1/4 BSP F/F 90° Compact Hydraulic Adaptor Product SKU:  BUR05026  …….. 1 of,,£5.29,,,,,,Flowfit,,
*Changed*  ,"Hydraulic Compensated Flow Control Valve, VRFB 90 ¼"" Product SKU: V0584 ……. 3 of",,£25.76,,,,,,Flowfit,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,simpleRTK2B Pro Arduino header options:: Without headers ZED-F9 SKU AS-RTK2B-PROF9P-L1L2-NH-00,0,$259.90,,,,N,,Ardusimple,https://www.ardusimple.com/product/simplertk2b-pro/,
,Radio module Long Range (LR) SKU AS-XBEE-LR-EU-SMA-01 ,2,$116.15,,,,N,,Ardusimple,https://www.ardusimple.com/product/radio-module-long-range/,
,simpleRTK2B Lite,3,228.85,,,,N,,Ardusimple,https://www.ardusimple.com/product/simplertk2blite/,
,"Budget Survey GNSS Multiband antenna (IP66),  AS-ANT2B-SUR-L1L2-25SMA-00 ",3,$102.35,,,,N,,Ardusimple,https://www.ardusimple.com/product/survey-gnss-multiband-antenna/,
,"Vehicle Mount LR/XLR Antenna,  AS-ANT-VEH ",2,$55.20,,,,N,,Ardusimple,https://www.ardusimple.com/product/lr-xlr-antenna-vehicle-mount/,
,,,,,,,,,,,
,"simpleRTK2B Lite  189,00€	 simpleRTK2B Lite quantity  = 3  567,00€	",,,,,,,,,,
,"Budget Survey GNSS Multiband antenna (IP66)  89,00€  Budget Survey GNSS Multiband antenna (IP66) quantity = 189,00€	",,,,,,,,,,
,"Ardusimple Vehcile Mount LR-XLR antenna  Vehicle Mount LR/XLR Antenna - Europe  XLR radio options: Europe 48,00€  Vehicle Mount LR/XLR Antenna - Europe quantity = 3  144,00€ ",,,,,,,,,,
,"Cable extender 5m  SMA antenna RF cable extender - 5m Cable length: 5m  25,00€  SMA antenna RF cable extender - 5m quantity 25,00€	",,,,,,,,,,
,"Cable extender 2.5m  SMA antenna RF cable extender - 2.5m Cable length:  2.5m   20,00€",,,,,,,,,,
,"Total = 833,51€",,,,,,,,,,
,Total = £708.4835,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Rugged TNC to SMA Survey antenna cable SKU: AS-CAB-TNCM-1M5-SMAM-RG58-00  28,00€ Cable length: 1.5m, 28,00€",,,,,,,,,,
,,,,,,,,,,,
,USB 2.0 Right-Angle Male to Female Data Transfer Charging Extender Cable for usb camera,,,£6.99,,,,,EBAY,,
,,,,,,,,,,,
,"Flowfit Hydraulic 3 port Adjustable flow control c/w Relief valve 1/2"" BSP ports SKU: ZZ005423  Max Flow:  Max Pressure:  Type:  3 PORT ADJUSTABLE FLOW CONTROL VALVE WITH RELIEF ½""",ZZ005423,"£49,92",,,,,,Flowfit,,
,"Flowfit 3 Way Hydraulic Solenoid Diverter 1/2"" BSP Port Size, 12V DC, 80 L/Min Flows Product SKU: SDV3DC12NZ5LG12  1/2"" BSP Port Size 12V Solenoid DC 80 L/Min Max Pressure 210Bar   ****** NOT REQUIRED !!!!! *******",SDV3DC12NZ5LG12,£73.94,,,,,,Flowfit,,
,Flowfit cetop 3 1 station steel manifold no RV cavity Product SKU: MD-03P-1-G,MD-03P-1-G,£24.36,,,,,,Flowfit,,
,"Flowfit Cetop 3 NG6 3 Position Solenoid Valve, 12V DC, 3C60 Product SKU: F5-02-3C60-D1   … this is the wrong config !!!",F5-02-3C60-D1,£70.56,,,,,,Flowfit,,
,,,,,,,,,,,
,1/2 BSP x 1/2 BSP M/M Hydraulic Adaptor SKU: BUR00021 Size: 1/2 BSP x 1/2 BSP M/MThread Type: BSP x BSP £1.37,BUR00021,,,,,,,Flowfit,,
,1/2 BSP x 1/2 BSP M/F Hydraulic Adaptor SKU: BUR01440 Size: 1/2 BSP x 1/2 BSP M/F Thread Type: BSP x BSP £2.68,BUR01440,,,,,,,Flowfit,,
,1/2 BSP F/F/M Tee Hydraulic Adaptor SKU: BUR02072 Size: 1/2 BSP F/F/M Tee Thread Type:  BSP £7.12,BUR02072,,,,,,,Flowfit,,
,1/2 BSP M/F/F Tee Hydraulic Adaptor SKU: BUR09628 Size: 1/2 BSP M/F/F Tee Thread Type:  BSP £9.20,BUR09628,,,,,,,Flowfit,,
,1/2 BSP F/F/F Tee Hydraulic Adaptor Product SKU: BUR01978,BUR01978,,,,,,,,,
,"Bonded Seals (Self Centre) 1/2"" BSP Pack of 10 Product SKU: BS1210",BS1210,,,,,,,Flowfit,,
,,,,,,,,,,,
,1/2 BSP Coned Plug Hydraulic Adaptor  SKU: BUR09053 Size: 1/2 BSP Coned Plug Thread Type: BSP,BUR09053,,,,,,,Flowfit,,
,1/2 BSP Swivel Cap Hydraulic Adaptor  SKU: BUR09183 Size: 1/2 BSP Swivel Cap Thread Type:BSP,BUR09183,,,,,,,Flowfit,,
,3/8 BSP x 1/2 BSP M/M Hydraulic Adaptor Product SKU:  BUR00015,BUR00015,,,,,,,Flowfit,,
,,,,,,,,,,,
,"Waveshare JETSON-NANO-DEV-KIT, an Alternative Solution for Jetson Nano Developer Kit B01",Amazon,,£189.99,,,,,,,
,LTE Cat 4G USB DONGLE Quectel EC25-EC EC25-EUX EC25-J EC25-E EC25-AUX EC25-AFX USB2.0 4PIN Modem,Aliexpress,,£36.49,,,,,,,
,,,,,,,,,,,
,EVM3683-7-QN-01A  Voltage Regulator - Switching Regulator  Input Voltage:  2.7 V to 16 V ,Mouser,£19.08,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Teltonika RUT901 Industrial 4G Cat 4, 3G, 2G Router",,,£165,,,,,Amazon,,
,"Teltonika RUT951 Industrial Router, 4G Cat 4, 3G, 2G Dual SIM, WiFi, 10/100 Ethernet, 4 ports, Advanced VPN, Versatile Solution for IoT, M2M, and Remote Monitoring  ",,,£193,,,,,Amazon,,
,,,,,,,,,,,
,"STURDeCAM31_CUOAGX - 3MP 120dB HDR NVIDIA® Jetson Orin™ Camera for Autonomous Mobility kit includes 3m cable and  Interface: GMSL2  Connector: FAKRA connector power supply = 12V +- 250 mA, waterproof: IP69",,$549,,,,,,E-con Systems,https://www.e-consystems.com/nvidia-cameras/jetson-agx-orin-cameras/sony-isx031-ip69k-hdr-gmsl2-camera.asp,
,STURDeCAM31_CUONX - 3MP 120dB HDR Camera for NVIDIA® Jetson Orin NX / Orin Nano,,?,,,,,,E-con Systems,https://www.e-consystems.com/nvidia-cameras/jetson-orin-nx-cameras/3mp-sony-isx031-120db-hdr-camera.asp,
,,,,,,,,,,,
,,,,,,,,,,,
,"CP30233M - DisplayPort Socket to DisplayPort Socket Feedthrough Coupler, Silver Metal, CSK Holes   Manufacturer: CLIFF ELECTRONIC COMPONENTS  Order Code: CN24867 ",,£10.22,,,,,,,,
,"PSG90897 - DisplayPort 1.2 Male to Male Lead, 0.5m Black  Manufacturer: PRO SIGNAL Order Code: CS24789",,£4.52,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,VL-GM2-8CAM-RPI22  × 1  ,,,,,,,,,https://www.technexion.com/shop/serdes/gmsl/gmsl2-frame-grabber/vl-gm2-8cam-rpi22/,
,4 Cameras: VLS-GM2-AR0234-C-S32-IR GMSL2 Aluminium Enclosed Camera with onsemi AR0234 2MP Full-HD Color Global Shutter with Onboard ISP + 32 Degree M12 Lens with IR-Cut Filter,,,,,,,,,,
,"4 units of VLS-GM2 camera cable: Vizionlink-COAX1-Cable-0300 × 4  ……………… Total $758.00 , £561.17",,£561.17,£673.40,,,,,,,
,VLS-GM2-AR0234-C-S32-IR  GMSL2 Aluminium Enclosed Camera with onsemi AR0234 2MP Full-HD Color Global Shutter with Onboard ISP + 32 Degree M12 Lens with IR-Cut Filter,1,$139.75,,,,,,,,
,Delivery $45,£35.00,£596.17,£715.40,,,,,,,
Camera mount screws,M2 socket head screw  x 5mm,,,,,,,,EBAY,https://www.ebay.co.uk/itm/321231104609?var=510170340571,
,,,,,,,,,,,
Lens for AR0234 camera,M12 Lens - 90-Degree Wide Angle with Raspberry Pi HQ Camera Adapter,,,£17.30,,,,,PIHUT,https://thepihut.com/products/m12-lens-90-degree-wide-angle-with-raspberry-pi-hq-camera-adapter,
,,,,,,,,,,,
,"STURDeCAM31_CUOAGX_CXLC_AT_4H03R2, USD 1599  GBP 1183.80  (4* STURDeCam31, 2 x quad deserialiser board, lenses 70 degrees, cables 3m x 4.) lead time 5 business days. For Jetson AGX Orin. Operating Voltage: 12V+/- 250mV.",,£1183.80 ,,,,,,,https://www.e-consystems.com/webstore.asp#STURDeCAM31_CUOAGX,
,"NVIDIA Jetson AGX Orin 64GB Developer Kit , £1,811.60  Totlal = 1183.80* 1.2 + 1,811.60 = £3232.16",,,,,,,,,,
,3232.16,,,,,,,,,,
,Front loader:,,,,,,,,,,
,,,,,,,,,,,
,"Flowfit 3 Way Hydraulic Solenoid Diverter 1/2"" BSP Port Size, 12V DC, 80 L/Min Flows",,,,,,,,Flowfit,,
,Product SKU: SDV3DC12NZ5LG12,,,,,,,,,,
,https://www.flowfitonline.com/products/flowfit-3-way-hydraulic-solenoid-diverter-1-2-bsp-port-size-12v-dc-80-l-min-flows,,,,,,,,,,
,"1/2"" BSP Port Size",,,,,,,,,,
,12V Solenoid DC,,,,,,,,,,
,80 L/Min,,,,,,,,,,
,Max Pressure 210Bar,,,,,,,,,,
,Qty:1,,,,,,,,,,
,,,,,,,,,,,
,1/4 BSP x 3/8 BSP M/M Hydraulic Adaptor Product SKU: BUR00006,0,,,,,,,Flowfit,,
,"Flowfit Hydraulic Cetop 3 Station 3 Relief Valve M26X1.5 RV 1/2"" Ports Product SKU:  MD-03P-3-G-M26-1/2",0,£163.58,,,,,,Flowfit,https://www.flowfitonline.com/products/flowfit-hydraulic-cetop-3-station-3-relief-valve-m26x1-5-rv-1-2-ports,
,"Flowfit cetop 3, 4 station steel manifold with relief valve cavityProduct SKU:  MD-03P-4-G-M26",0,£114.84,,,,,,Flowfit,https://www.flowfitonline.com/products/flowfit-cetop-3-4-station-steel-manifold-with-relief-valve-cavity,
,,,,,,,,,,,
,"Flowfit Cetop 3 NG6 3 Position Solenoid Valve, 12V DC, 3C2 Product SKU:  F5-02-3C2-D1, All ports blocked, 3C2 config, QTY:2",2,£81.24,,,,,,Flowfit,https://www.flowfitonline.com/products/flowfit-cetop-3-ng6-3-position-solenoid-valve-12v-dc-3c2,
,"Flowfit cetop 3, 4 station steel manifold no RV cavity Product SKU: MD-03P-4-G , QTY:1",1,£94.64,,,,,,Flowfit,https://www.flowfitonline.com/categories/hydraulic-cetop-valves/cetop-3-manifolds-subplates/flowfit-cetop-3-4-station-steel-manifold-no-rv-cavity,
,"Flowfit hydraulic cetop 3 modular relief valve 35-140 Bar on the P port Product SKU:  FFRV-02P-K-2-20 , QTY:1",1,£68.66,,,,,,Flowfit,https://www.flowfitonline.com/products/flowfit-hydraulic-cetop-3-modular-relief-valve-35-140-bar-on-the-p-port,
,"Flowfit 3 Way Hydraulic Solenoid Diverter 1/2"" BSP Port Size, 12V DC, 80 L/Min Flows Product SKU: SDV3DC12NZ5LG12 , QTY:1  **** TOO BIG *****",1,£85.03,,,,,,Flowfit,https://www.flowfitonline.com/products/flowfit-3-way-hydraulic-solenoid-diverter-1-2-bsp-port-size-12v-dc-80-l-min-flows,
,"63mm Glycerine Filled Hydraulic pressure gauge 0-4000 PSI (275 BAR) 1/4"" BSP BASE Entry Product SKU:  PG63B04000PSI  , QTY:1",1,£9.25,,,,,,Flowfit,https://www.flowfitonline.com/categories/hydraulic-pressure-gauges/hydraulic-pressure-gauges/63mm-glycerine-filled-hydraulic-pressure-gauge-0-4000-psi-275-bar-1-4-bsp-base-entry,
,"Pressure gauge swivel adaptors 1/4"" - 1/4"" ports Product SKU: FT299-44, QTY:1",1,£11.93,,,,,,Flowfit,https://www.flowfitonline.com/products/pressure-gauge-swivel-adaptors-1-4-1-4-ports,
,"3/8 BSP x 3/8 BSP M/M Hydraulic Adaptor Product SKU: BUR00014, QTY:3",3,£1.29,,,,,,Flowfit,https://www.flowfitonline.com/products/3-8-bsp-x-3-8-bsp-m-m-hydraulic-adaptor,
,"3/8 BSP x 1/2 BSP M/M Hydraulic Adaptor Product SKU: BUR00015, QTY:4",4,£1.58,,,,,,Flowfit,https://www.flowfitonline.com/products/3-8-bsp-x-1-2-bsp-m-m-hydraulic-adaptor,
,1/2 BSP M/M/M Tee Hydraulic Adaptor Product SKU: BUR01903 QTY:2,2,£6.87,,,,,,Flowfit,https://www.flowfitonline.com/products/1-2-bsp-m-m-m-tee-hydraulic-adaptor,
,1/2 BSP M/M/F Tee Hydraulic Adaptor Product SKU: BUR02003 QTY:2,2,£8.19,,,,,,Flowfit,https://www.flowfitonline.com/products/1-2-bsp-m-m-f-tee-hydraulic-adaptor,
,,,,,,,,,,,
,(£81.24 x 2) + 95.64 + £68.66 + £85.03 = £411.81,,,,,,,,,,
,,,,,,,,,,,
,"12VDC 3 WAY SOLENOID DIVERTER MAX 80L/MIN MAX 210 BAR ½"" Product SKU:  S3V1212CC-S  **** OUT OF STOCK ****",,£61.15,,,,,,,,
,"Flowfit 3 Way Hydraulic Solenoid Diverter 3/8"" BSP Port Size, 12V DC, 80 L/Min Flows Product SKU: SDV3DC12NZ5LG38   ***** TOO BIG ****",,£85.03,,,,,,Flowfit,https://www.flowfitonline.com/products/flowfit-3-way-hydraulic-solenoid-diverter-3-8-bsp-port-size-12v-dc-80-l-min-flows,
,3/8 BSP Solid Plug Hydraulic Adaptor Product SKU: BUR09027 Blanking,,£1.29,,,,,,Flowfit,https://www.flowfitonline.com/products/3-8-bsp-solid-plug-hydraulic-adaptor,
,,,,,,,,,,,
,,,,,,,,,,,
,"3/8 x 3/8 x 1/2 BSP M/F/F Tee Hydraulic Adaptor Product SKU:  BUR09633, QTY: 2 0f",,£16.32,,,,,,Flowfit,https://www.flowfitonline.com/categories/hydraulic-adaptors/3-8-x-3-8-x-1-2-bsp-m-f-f-tee-hydraulic-adaptor,
,"3/8 BSP x 1/4 BSP M/F Hydraulic Adaptor Product SKU:  BUR01433, QTY: 2 0f",,£2.24,,,,,,Flowfit,https://www.flowfitonline.com/products/3-8-bsp-x-1-4-bsp-m-f-hydraulic-adaptor,
,"Flowfit cetop 3 NG6 steel cover plate blanking plate Product SKU: D5-03-CP-G, QTY: 1 0f",,£8.81,,,,,,Flowfit,https://www.flowfitonline.com/products/flowfit-cetop-3-ng6-steel-cover-plate,
,"3/8 BSP Solid Plug Hydraulic Adaptor  SKU: BUR09027, QTY: 2 0f",,£2.58,,,,,,Flowfit,,
,,,,,,,,,,,
,Schneider ClimaSys 10W 110 - 250V PTC Enclosure Heater Part Code: NSYCR10WU2  Stock Code: 1017-0478 ,,£33.91,,,,,,CEF,https://www.cef.co.uk/catalogue/products/1865697,
,XHW3005 Humidity Hygrostat 230v Sensor Digital Hygrometer Switch Controller 0 to 99% R(220V) ,,£9.19,,,,,,Amazon,https://www.amazon.co.uk/dp/B0B8SBZKC9/ref=sspa_dk_detail_?th=1,
,"Dual Digital Thermostat Temperature Humidity Control STC-3028 Thermometer Hygrometer Incubator Controller AC 220V DC 12V 24V, QTY: 2 of",,£6.50,,,,,,Aliexpress,https://www.aliexpress.com/item/1005008793518397.html?spm=a2g0o.order_list.order_list_main.5.21ef1802EhLwWd,
,"HG140 15W 30W 45W 100W Industrial Cabinet Heater 35mm Din Rail Type Fan Heater PTC Sermiconductor Heater Work with Thermostat, 15W 240 v version, QTY: 2 of",,£9.09,,,,,,Aliexpress,https://www.aliexpress.com/item/1005007957018105.html,
,,,,,,,,,,,
,NVIDIA Jetson Orin Nano Super Developer Kit Development Kit RS Stock No.: 264-7384 Mfr. Part No.: 945-13766-0005-000 Brand: NVIDIA,,£260,,,,,,Rsonline,https://uk.rs-online.com/web/p/processor-development-tools/2647384?utm_source=nvidia,
,,,,,,,,,,,
,,,,,,,,,,,
,Hammond 1554K2GYCL Watertight PC Enclosure Clear Lid 160 x 90 x 90mm Grey  Code: 30-4612,1 of,£21.20,,,,,,Rapid,https://www.rapidonline.com/hammond-1554k2gycl-watertight-pc-enclosure-clear-lid-160-x-90-x-90mm-grey-30-4612,
,Hammond 1554B2GYCL Watertight PC Enclosure Clear Lid 65 x 65 x 40mm Grey  Code: 30-4604,1 of,£11.11,,,,,,Rapid,https://www.rapidonline.com/hammond-1554b2gycl-watertight-pc-enclosure-clear-lid-65-x-65-x-40mm-grey-30-4604,
,Raspberry Pi SC1432 RPi5 8GB RAM 64-bit Quad-Core Single Board Computer  Code: 75-1285,1 of,£60.15,,,,,,Rapid,https://www.rapidonline.com/raspberry-pi-sc1432-rpi5-8gb-ram-64-bit-quad-core-single-board-computer-75-1285,
,Raspberry Pi SC1148 Pi 5 Active Cooler For Heavy Load Without Case Order Code: 75-1286 Brand: Raspberry Pi MPN: SC1148 EAN-13: 5056561803357,1 of,£3.56,,,,,,Rapid,https://www.rapidonline.com/raspberry-pi-sc1148-pi-5-active-cooler-for-heavy-load-without-case-75-1286,
,,,,,,,,,,,
,"Pololu Pololu Logic Level Shifter - 4-Channel, Bidirectional Sale price£3.40incl. VAT",1 of,,,,,,,Pi Hut,https://thepihut.com/products/pololu-logic-level-shifter-4-channel-bidirectional?variant=41836315476163,
,The Pi Hut Miniature 5V Cooling Fan for Raspberry Pi Sale price£3incl. VAT,1 of,,,,,,,Pi Hut,https://thepihut.com/products/miniature-5v-cooling-fan-for-raspberry-pi-and-other-computers?variant=31955934417,
,Raspberry Pi Raspberry Pi Micro SD Card with RPi OS Pre-Installed256GB Sale price£24.90incl. VAT,1 of,,,,,,,Pi Hut,https://thepihut.com/products/noobs-preinstalled-sd-card?variant=54621456859521,
,52Pi PD Power Extension Board for Raspberry Pi 5 Sale price£23incl. VAT,1 of,,,,,,,Pi Hut,https://thepihut.com/products/pd-power-extension-board-for-raspberry-pi-5?variant=43712037683395,
,"Raspberry Pi Raspberry Pi AI Camera Sale price£67.20incl. VAT, ",2 of,,,,,,,Pi Hut,https://thepihut.com/products/raspberry-pi-ai-camera?variant=43973693046979,
,Camera Adapter Cable for Raspberry Pi 5 Raspberry PiSKU: SC1129             (50 Reviews) Length:300mm 200mm 300mm 500mm Price: Sale price£2 incl. VAT ,2 of,,,,,,,Pi Hut,https://thepihut.com/products/camera-adapter-cable-for-raspberry-pi-5?variant=42531560816835,
,"Official Raspberry Pi CSI FPC Flexible Cable 200mm for Raspberry Pi 5, 22Pin To 15Pin, Suitable For CSI Camera Modules SKU: 27084 Part No.: Raspberry Pi 5 Official Camera Cable 500mm waveshare",2of,£2.61,,,,,,Waveshare,https://www.waveshare.com/raspberry-pi-5-official-camera-cable-200mm.htm?sku=27084,
,,,,,,,,,,,
,,,,,,,,,,,
,ZED Link Capture Card MonoUS$139.00,,$139.00,,,,,,Stereo Labs,https://www.stereolabs.com/en-gb/store/products/zed-link-capture-card-mono,
,ZED X One 4KUS$499.00,,$499.00,,,,,,Stereo Labs,https://www.stereolabs.com/en-gb/store/products/zed-x-one-4k,
,,,,,,,,,,,
,,,,,,,,,,,
,CAN Board (SN65HVD230) WaveshareSKU: WAV-3945             (4 Reviews) Price: Sale price £4.80 incl. VAT,,,,,,,,Pi Hut,https://thepihut.com/products/can-board-sn65hvd230?srsltid=AfmBOoozDzXG5nGYlG31oQSj6i6JzdMdqeBpSpvQEvjUBFKf9hmD53uc,
,2-Channel Isolated CAN FD Expansion HAT for Raspberry Pi WaveshareSKU: WAV-17075               Price: Sale price £45.20 incl. VAT,,,,,,,,Pi Hut,https://thepihut.com/products/2-channel-isolated-can-fd-expansion-hat-for-raspberry-pi,
,,,,,,,,,,,
,STMICROELECTRONICS NUCLEO-H723ZG,1,£27.02,,,,Y,,Farnell,https://uk.farnell.com/stmicroelectronics/nucleo-h723zg/dev-board-stm32-32bit-arm-cortex/dp/3576973,
,,,,,,,,,,,
,"Texas Instruments SN65HVD230QD, CAN Transceiver 1Mbps ISO 11898, 8-Pin SOIC RS Stock No.: 660-7789 Mfr. Part No.: SN65HVD230QD Brand:Texas Instruments",,£3.80,,,,,,Rsonline,https://uk.rs-online.com/web/p/can-interface-ics/6607789,
,,,,,,,,,,,
,"2mm M2 A2 STAINLESS STEEL ALLEN BOLT SOCKET CAP SCREW HEX HEAD ALLEN KEY DIN 912 New30, M2 x 14",,£4.50,,,,,,EBAY,,
,"2mm M2 A2 STAINLESS STEEL ALLEN BOLT SOCKET CAP SCREW HEX HEAD ALLEN KEY DIN 912 New30, M2 x 12",,£4.50,,,,,,EBAY,,
,"M2 M2.5 M3 M4 M5 M6 M8 M10 M12 A2 STAINLESS STEEL NYLOC NYLOCK LOCK NUTS DIN 985 Newm2 x 0.4mm pitch, 25",,£21.68,,,,,,EBAY,,
,,,,,,,,,,,
,"Icotek Polyamide Cable Trunking Frame, 72.8 x 19 x 58mm, KEL",,£24.42,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/2837580/,
,Icotek KT Grey Elastomer Cable Grommet KT 2,,£1.31,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/0361809/,
,Icotek KT Grey Elastomer Cable Grommet KT 2/2,,£1.76,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/0361810/,
,Icotek Grey Elastomer Cable Grommet KT 3,,£2.68,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/2837604/,
,"Icotek Polyamide Cable Trunking Frame, 147 x 19 x 58mm, KEL",,£34.86,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/2837579/,
,Icotek Grey Elastomer Cable Grommet KT 5,,£2.80,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/2837607/,
,,,,,,,,,,,
,"16mm Cable Open Style Rubber Wiring Grommet DIY (Pack of 10)  , 16mm cut out, 12mm ID.",,,£3.75,,,,,Amazon,https://www.amazon.co.uk/dp/B08GCNJ2NV?ref=ppx_yo2ov_dt_b_fed_asin_title,
,Fakra Z Antenna Aerial 6m Extension Cable Female - Female GPS GSM DAB DVB TV,,,£9.99,,,,,EBAY,https://www.ebay.co.uk/itm/254151428808,
,"Metric Black Rubber Seal O-Rings - 3mm to 44mm Inside Dia & 2mm to 3mm Thickness, 16 x 2.5",,,,,,,,EBAY,,
,"Metric Black Rubber Seal O-Rings - 3mm to 44mm Inside Dia & 2mm to 3mm Thickness, 12 x 2.5",,,,,,,,EBAY,,
,,,,,,,,,,,
,"Pitacs 2 Core Round Flex Cable (2182Y) 0.75mm2 Drum  by Pitacs Product Code: 59619, 50m, 6A",,,£20.51,,,,,tool station,https://www.toolstation.com/pitacs-2-core-round-flex-cable-2182y/p59619,
,,,,,,,,,,,
Rpi camera box,"LAPP 54113030 SKINTOP® DV-M25  Code: 49-2069, 20 of",,,£6.55,,,,,Rapid,https://www.rapidonline.com/lapp-54113030-skintop-dv-m25-49-2069,
